type	size	addr	mangled	demangled	obj
T	0xa	0x8257208	_ZNK27Arad_EventPeriodDataManager9isAppliedEii	Arad_EventPeriodDataManager::isApplied(int, int) const	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0xa	0x825b93f	_ZNK30Arad_EventPeriodDataManager9isAppliedEii	_ZNK30Arad_EventPeriodDataManager9isAppliedEii	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x9f	0x81420d8	_ZNK5CUser11isBlackUserEj	CUser::isBlackUser(unsigned int) const	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CUser.cpp.o
T	0x20	0x8141b70	_ZNK5CUser20GetCharacExpandDataRER23ENUM_CHARAC_EXPAND_TYPE	CUser::GetCharacExpandDataR(ENUM_CHARAC_EXPAND_TYPE&) const	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/CUser.cpp.o
T	0x26	0x80c6e46	_ZNK6Cipher14GetOriginalKeyEPh	Cipher::GetOriginalKey(unsigned char*) const	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Cipher.cpp.o
T	0xb5	0x80c6fd4	_ZNK6Cipher7DecryptEiPKhiPhPi	Cipher::Decrypt(int, unsigned char const*, int, unsigned char*, int*) const	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Cipher.cpp.o
T	0xe2	0x80c6ef2	_ZNK6Cipher7EncryptEiPKhiPhPi	Cipher::Encrypt(int, unsigned char const*, int, unsigned char*, int*) const	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/Cipher.cpp.o
T	0xa	0x825b342	_ZNK8CMonster9get_indexEv	CMonster::get_index() const	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0xa	0x825ba70	_ZNK9CItemShop19GetOneADayItemListEv	_ZNK9CItemShop19GetOneADayItemListEv	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
T	0x13d	0x8132ce8	_ZNK9SkillSlot24checkskillSlotEmptyCountERi	SkillSlot::checkskillSlotEmptyCount(int&) const	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/SkillSlot.cpp.o
T	0xa	0x825ac17	loadRDARScriptFile	loadRDARScriptFile	home/wangyilei/dnf_workspace/dnf_decompile/source/DNFServer/GameServer/Game/GameStubs.cpp.o
